symbol,listing_date,first_trade_date,delta_days,status
SDBL,2011-03-30,2011-03-30,0,OK
SDBLPO,2008-06-30,2011-08-09,1135,SUSPICIOUS_LARGE_GAP
SDESI,2017-07-26,2017-08-17,22,OK
SDESIP,2020-07-14,2020-07-15,1,OK
SDFL,2010-10-04,2011-03-20,167,SUSPICIOUS_LARGE_GAP
SDL,2025-11-06,,,NO_PRICE_HISTORY
SEF,2018-01-14,2018-01-17,3,OK
SEOS,2014-09-05,2014-10-09,34,OK
SETI,2010-12-08,2011-03-24,106,SUSPICIOUS_LARGE_GAP
SETIPO,2013-08-15,2013-08-15,0,OK
SEWA,2010-06-04,2011-03-20,289,SUSPICIOUS_LARGE_GAP
SEWAPO,2014-02-23,2014-02-23,0,OK
SFC,2007-07-29,,,NO_PRICE_HISTORY
SFCL,2007-07-30,2011-03-25,1334,SUSPICIOUS_LARGE_GAP
SFCLP,2008-05-25,2019-11-20,4196,SUSPICIOUS_LARGE_GAP
SFCPO,2008-06-24,,,NO_PRICE_HISTORY
SFEF,2023-04-05,2023-04-20,15,OK
SFFIL,2007-07-30,2011-07-20,1451,SUSPICIOUS_LARGE_GAP
SFFILP,2009-09-01,2012-08-05,1069,SUSPICIOUS_LARGE_GAP
SFL,2007-07-30,2011-05-02,1372,SUSPICIOUS_LARGE_GAP
SFLPO,2013-06-23,2013-06-23,0,OK
SFMF,2020-01-09,2020-07-15,188,SUSPICIOUS_LARGE_GAP
SGHC,2022-08-16,2022-08-17,1,OK
SGHL,-,,,INVALID_LISTING_DATE
SGIC,2020-11-03,2023-01-23,811,SUSPICIOUS_LARGE_GAP
SGICP,2020-11-03,2025-01-27,1546,SUSPICIOUS_LARGE_GAP
SHBL,2014-11-10,2014-11-10,0,OK
SHBLPO,2016-01-29,,,NO_PRICE_HISTORY
SHEL,2021-04-27,2021-04-28,1,OK
SHINE,2013-08-18,2013-08-18,0,OK
SHINED,2025-11-10,2025-11-11,1,OK
SHINEP,2015-04-20,2019-03-17,1427,SUSPICIOUS_LARGE_GAP
SHIVM,2019-03-17,2019-03-24,7,OK
SHL,1993-02-07,2011-03-24,6619,SUSPICIOUS_LARGE_GAP
SHLB,2022-12-13,2022-12-20,7,OK
SHPC,2014-01-15,2014-01-22,7,OK
SICL,2007-02-04,2011-03-25,1510,SUSPICIOUS_LARGE_GAP
SICLPO,2014-06-11,2014-06-11,0,OK
SIFC,2011-04-05,2011-04-05,0,OK
SIFCPO,2011-07-12,2011-07-12,0,OK
SIGS2,2019-09-25,2021-01-11,474,SUSPICIOUS_LARGE_GAP
SIGS3,2023-07-16,2024-01-04,172,SUSPICIOUS_LARGE_GAP
SIKLES,2022-11-14,2022-11-15,1,OK
SIL,2008-03-24,2011-03-24,1095,SUSPICIOUS_LARGE_GAP
SILPO,2014-12-29,2014-12-29,0,OK
SINDU,2013-09-08,2013-09-08,0,OK
SINDUP,2015-04-20,2016-11-24,584,SUSPICIOUS_LARGE_GAP
SJCL,2019-08-05,2019-08-06,1,OK
SJLIC,2010-09-09,2023-01-25,4521,SUSPICIOUS_LARGE_GAP
SJLICP,2013-11-14,2023-03-02,3395,SUSPICIOUS_LARGE_GAP
SKBBL,2013-10-08,2013-10-08,0,OK
SKBBLP,2015-04-20,2023-10-04,3089,SUSPICIOUS_LARGE_GAP
SKDBL,2016-02-08,2016-04-05,57,OK
SKHCL,2026-03-26,,,NO_PRICE_HISTORY
SKHL,2026-03-24,2026-03-25,1,OK
SLBBL,2013-06-19,2013-06-19,0,OK
