symbol,display_name,missing_fields,merged_date,merged_into,merged_into_name,source_title,note
UIC,United Insurance Company (Nepal) Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (UIC),United Insurance Company (Nepal) Limited is marked as Merged on ShareSansar company page.
ULI,Union Life Insurance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (ULI),Union Life Insurance Company Limited is marked as Merged on ShareSansar company page.
UMB,Unnati Laghubitta Bittiya Sanstha Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (UMB),Unnati Laghubitta Bittiya Sanstha Limited is marked as Merged on ShareSansar company page.
VBBL,Vibor Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (VBBL),Vibor Bikas Bank Limited is marked as Merged on ShareSansar company page.
VFL,Valley Finance Limtied,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (VFL),Valley Finance Limtied is marked as Merged on ShareSansar company page.
VSDBL,Vibor Society Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (VSDBL),Vibor Society Development Bank Limited is marked as Merged on ShareSansar company page.
WDBL,Western Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (WDBL),Western Development Bank Limited is marked as Merged on ShareSansar company page.
WOMI,Womi Laghubitta Bittiya Sanstha Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (WOMI),Womi Laghubitta Bittiya Sanstha Limited is marked as Merged on ShareSansar company page.
YETI,Yeti Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (YETI),Yeti Development Bank Limited is marked as Merged on ShareSansar company page.
YFL,Yeti Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (YFL),Yeti Finance Limited is marked as Merged on ShareSansar company page.
ZFL,Zenith Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (ZFL),Zenith Finance Limited is marked as Merged on ShareSansar company page.
